program_name,short_name,year
22.04.01 Материаловедение и технологии материалов (Комплексные технологии материалов в цифровом и аддитивном производстве),22.04.01_КТМВЦАП_2023,2023
27.03.02 Управление качеством (Управление качеством),27.03.02_УК_2023,2023
27.04.01 Стандартизация и метрология (Метрология цифровых двойников),27.04.01_МЦД_2023,2023
27.04.03 Системный анализ и управление (Интеллектуальные технологии поддержки жизненного цикла изделий),27.04.03_ИТПЖЦИ_2023,2023
27.04.04 Управление в технических системах (Интеллектуальные системы управления и обработки информации),27.04.04_ИСУОИ_2023,2023
27.04.04 Управление в технических системах (Системы управления летательными аппаратами и их элементы),27.04.04_СУЛАИЭ_2023,2023
27.04.06 Организация и управление наукоемкими производствами (Управление реализацией инновационных проектов),27.04.06_УРИП_2023,2023
28.04.01 Нанотехнологии и микросистемная техника (Физика и технологии наносистем),28.04.01_ФТН_2023,2023
29.04.04 Технология художественной обработки материалов (Дизайн-визуализация промышленных изделий),29.04.04_ДПИ_2023,2023
33.04.01 Промышленная фармация (Промышленная фармация),33.04.01_ПФ_2023,2023
38.03.01 Экономика (Экономика предприятий и организаций),38.03.01_ЭПО_2023,2023
38.03.02 Менеджмент (Маркетинг),38.03.02_М_2023,2023
38.03.02 Менеджмент (Управление проектом),38.03.02_УП_2023,2023
38.03.03 Управление персоналом (Управление персоналом организации),38.03.03_УПО_2023,2023
38.03.04 Государственное и муниципальное управление (Информационные технологии в государственном управлении),38.03.04_ИТВГУ_2023,2023
38.03.05 Бизнес-информатика (Архитектура предприятия),38.03.05_АП_2023,2023
38.03.10 Жилищное хозяйство и коммунальная инфраструктура (Организация деятельности в жилищно-коммунальном комплексе),38.03.10_ОДВЖК_2023,2023
38.04.05 Бизнес-информатика (Проектирование и внедрение информационных систем),38.04.05_ПВИС_2023,2023
40.04.01 Юриспруденция (Информационное право в цифровой экономике),40.04.01_ИПВЦЭ_2023,2023
40.04.01 Юриспруденция (Правовое сопровождение бизнеса),40.04.01_ПСБ_2023,2023
46.03.02 Документоведение и архивоведение (Современные технологии управления документацией),46.03.02_СТУД_2023,2023
46.04.02 Документоведение и архивоведение (Управление документацией в цифровой среде),46.04.02_УДВЦС_2023,2023
54.04.01 Дизайн (Графический дизайн),54.04.01_ГД_2023,2023
