program_name,short_name,year
38.03.01 Экономика (Экономика предприятий и организаций),38.03.01_ЭКО_2023,2023
38.03.02 Менеджмент (Маркетинг),38.03.02_МАР_2023,2023
38.03.02 Менеджмент (Управление проектом),38.03.02_УПР_2023,2023
38.03.03 Управление персоналом (Управление персоналом организации),38.03.03_УПР_2023,2023
38.03.04 Государственное и муниципальное управление (Информационные технологии в государственном управлении),38.03.04_ИНФ_2023,2023
38.03.05 Бизнес-информатика (Архитектура предприятия),38.03.05_АРХ_2023,2023
38.03.10 Жилищное хозяйство и коммунальная инфраструктура (Организация деятельности в жилищно-коммунальном комплексе),38.03.10_ОРГ_2023,2023
38.04.05 Бизнес-информатика (Проектирование и внедрение информационных систем),38.04.05_ПРО_2023,2023
40.04.01 Юриспруденция (Информационное право в цифровой экономике),40.04.01_ИНФ_2023,2023
40.04.01 Юриспруденция (Правовое сопровождение бизнеса),40.04.01_ПРА_2023,2023
46.03.02 Документоведение и архивоведение (Современные технологии управления документацией),46.03.02_СОВ_2023,2023
46.04.02 Документоведение и архивоведение (Управление документацией в цифровой среде),46.04.02_УПР_2023,2023
54.04.01 Дизайн (Графический дизайн),54.04.01_ГРА_2023,2023
